chembl_id,name,smiles,mw,hbd,hba,alogp,atc
CHEMBL3,NICOTINE,CN1CCC[C@H]1c1cccnc1,162.24,0,2,1.85,N07BA01
CHEMBL6437,MIANSERIN,CN1CCN2c3ccccc3Cc3ccccc3C2C1,264.37,0,2,3.08,N06AX03
CHEMBL11,IMIPRAMINE,CN(C)CCCN1c2ccccc2CCc2ccccc21,280.42,0,2,3.88,N06AA02
CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,284.75,0,2,3.15,N05BA01
CHEMBL16,PHENYTOIN,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,252.27,2,2,1.77,N03AB02;N03AB52
CHEMBL415,CLOMIPRAMINE,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,314.86,0,2,4.53,N06AA04
CHEMBL25,ASPIRIN,CC(=O)Oc1ccccc1C(=O)O,180.16,1,3,1.31,B01AC06;N02BA01;N02BA51;A01AD05;N02BA71
CHEMBL422,TRIFLUOPERAZINE,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,407.51,0,4,4.95,N05AB06
CHEMBL441,THIOPENTAL,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,242.34,2,3,1.35,N01AF03;N05CA19
CHEMBL268164,CYCLOBARBITAL,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,236.27,2,3,1.25,N05CA10
CHEMBL7413,METHOHEXITAL,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,262.31,1,3,1.31,N01AF01;N05CA15
CHEMBL40,PHENOBARBITAL,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,232.24,2,3,0.7,N03AA02
CHEMBL41,FLUOXETINE,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,309.33,1,2,4.44,N06AB03
CHEMBL42,CLOZAPINE,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,326.83,1,4,3.72,N05AH02
CHEMBL445,NORTRIPTYLINE,CNCCC=C1c2ccccc2CCc2ccccc21,263.38,1,1,3.83,N06AA10
CHEMBL447,SECOBARBITAL,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,238.29,2,3,1.35,N05CA06
CHEMBL448,PENTOBARBITAL,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,226.28,2,3,1.18,N05CA01
CHEMBL267894,AMOBARBITAL,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,226.28,2,3,1.18,N05CA02
CHEMBL7728,HEXOBARBITAL,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,236.27,1,3,1.2,N01AF02;N05CA16
CHEMBL7863,APROBARBITAL,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,210.23,2,3,0.57,N05CA05
CHEMBL450,METHARBITAL,CCC1(CC)C(=O)NC(=O)N(C)C1=O,198.22,1,3,0.5,N03AA30
CHEMBL451,CHLORDIAZEPOXIDE,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,299.76,1,3,2.95,N05BA02
CHEMBL452,CLONAZEPAM,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,315.72,1,4,3.04,N03AE01
CHEMBL45,MELATONIN,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,232.28,2,2,1.86,N05CH01
CHEMBL49,BUSPIRONE,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,385.51,0,6,2.09,N05BE01
CHEMBL460,MOLINDONE,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2,276.38,1,3,1.96,N05AE02
CHEMBL53,APOMORPHINE,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,267.33,2,3,2.85,N04BC07;G04BE07
CHEMBL54,HALOPERIDOL,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,375.87,1,3,4.43,N05AD01
CHEMBL70,MORPHINE,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,285.34,2,4,1.2,N02AA51;A07DA52;N02AA01
CHEMBL485,CODEINE,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,299.37,1,4,1.5,N02AA59;N02AA79;R05DA04
CHEMBL71,CHLORPROMAZINE,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,318.87,0,3,4.89,N05AA01
CHEMBL72,DESIPRAMINE,CNCCCN1c2ccccc2CCc2ccccc21,266.39,1,2,3.53,N06AA01
CHEMBL490,PAROXETINE,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,329.37,1,4,3.33,N06AB05
CHEMBL79,LIDOCAINE,CCN(CC)CC(=O)Nc1c(C)cccc1C,234.34,1,2,2.58,R02AD02;D04AB01;N01BB02;S01HA07;C01BB01;N01BB52;S02DA01;C05AD01
CHEMBL492,ETIDOCAINE,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,276.42,1,2,3.75,N01BB57;N01BB07
CHEMBL85,RISPERIDONE,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,410.49,0,6,3.59,N05AX08
CHEMBL10878,AGOMELATINE,COc1ccc2cccc(CCNC(C)=O)c2c1,243.31,1,2,2.53,N06AX22
CHEMBL95,TACRINE,Nc1c2c(nc3ccccc13)CCCC2,198.27,1,2,2.7,N06DA01
CHEMBL502,DONEPEZIL,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,379.5,0,4,4.36,N06DA02
CHEMBL12713,SERTINDOLE,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,440.95,1,3,4.63,N05AE03
CHEMBL13280,FLUNITRAZEPAM,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,313.29,0,4,2.55,N05CD03
CHEMBL526,PROPOFOL,CC(C)c1cccc(C(C)C)c1O,178.27,1,1,3.64,N01AX10
CHEMBL531,PERGOLIDE,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,314.5,1,2,4.27,N04BC02
CHEMBL14376,ILOPERIDONE,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,426.49,0,6,4.83,N05AX14
CHEMBL278020,NEOSTIGMINE,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,223.3,0,2,1.94,S01EB06;N07AA01;N07AA51
CHEMBL14370,REBOXETINE,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,313.4,1,4,3.19,N06AX18
CHEMBL549,CITALOPRAM,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,324.4,0,3,3.81,N06AB04
CHEMBL550,PILOCARPINE,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,208.26,0,4,1.16,N07AX01;S01EB01;S01EB51
CHEMBL108,CARBAMAZEPINE,NC(=O)N1c2ccccc2C=Cc2ccccc21,236.27,1,1,3.39,N03AF01
CHEMBL273575,NOMIFENSINE,CN1Cc2c(N)cccc2C(c2ccccc2)C1,238.33,1,2,2.85,N06AX04
CHEMBL564,PROMAZINE,CN(C)CCCN1c2ccccc2Sc2ccccc21,284.43,0,3,4.24,N05AA03
CHEMBL112,ACETAMINOPHEN,CC(=O)Nc1ccc(O)cc1,151.16,2,2,1.35,N02BE51;N02BE01;N02BE71
CHEMBL113,CAFFEINE,Cn1c(=O)c2c(ncn2C)n(C)c1=O,194.19,0,6,-1.03,N06BC01;D11AX26
CHEMBL16073,PHENACETIN,CCOc1ccc(NC(C)=O)cc1,179.22,1,2,2.04,N02BE53;N02BE03;N02BE73
CHEMBL567,PERPHENAZINE,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,403.98,1,5,3.94,N05AB03
CHEMBL568,OXAZEPAM,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,286.72,2,3,2.45,N05BA04
CHEMBL569,PROCAINE,CCN(CC)CCOC(=O)c1ccc(N)cc1,236.31,1,4,1.77,N01BA52;N01BA02;S01HA05;C05AD05
CHEMBL580,LORAZEPAM,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,321.16,2,3,3.1,N05BA56;N05BA06
CHEMBL589,ROPINIROLE,CCCN(CCC)CCc1cccc2c1CC(=O)N2,260.38,1,2,2.85,N04BC04
CHEMBL596,FENTANYL,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,336.48,0,2,4.14,N02AB03;N01AH01;N01AH51
CHEMBL17860,LOFEXIDINE,CC(Oc1c(Cl)cccc1Cl)C1=NCCN1,259.14,1,3,2.76,N07BC04
CHEMBL18116,TOLOXATONE,Cc1cccc(N2CC(CO)OC2=O)c1,207.23,1,3,1.31,N06AG03
CHEMBL19019,NALTREXONE,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,341.41,2,5,1.53,N07BB04
CHEMBL607,MEPERIDINE,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,247.34,0,3,2.21,N02AB52;N02AB02;N02AB72
CHEMBL282052,METHAQUALONE,Cc1ccccc1-n1c(C)nc2ccccc2c1=O,250.3,0,3,3.0,N05CM01;N05CX02
CHEMBL621,TRAZODONE,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,371.87,0,6,2.36,N06AX05
CHEMBL623,NEFAZODONE,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,470.02,0,7,3.55,N06AX06
CHEMBL629,AMITRIPTYLINE,CN(C)CCC=C1c2ccccc2CCc2ccccc21,277.41,0,1,4.17,N06AA09
CHEMBL128,SUMATRIPTAN,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,295.41,2,3,1.32,N02CC01
CHEMBL634,ALFENTANIL,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,416.53,0,8,1.38,N01AH02
CHEMBL636,RIVASTIGMINE,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,250.34,0,3,2.76,N06DA03
CHEMBL637,VENLAFAXINE,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,277.41,1,3,3.04,N06AX16
CHEMBL641,ATOMOXETINE,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,255.36,1,2,3.72,N06BA09
CHEMBL644,TRIMIPRAMINE,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,294.44,0,2,4.12,N06AA06
CHEMBL646,TRIAZOLAM,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,343.22,0,4,4.23,N05CD05
CHEMBL651,METHADONE,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,309.45,0,2,4.29,N02AC52;N07BC02
CHEMBL134,CLONIDINE,Clc1cccc(Cl)c1NC1=NCCN1,230.1,2,3,2.36,C02AC01;N02CX02;S01EA04
CHEMBL654,MIRTAZAPINE,CN1CCN2c3ncccc3Cc3ccccc3C2C1,265.36,0,3,2.48,N06AX11
CHEMBL655,MIDAZOLAM,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,325.77,0,3,4.32,N05CD08
CHEMBL22242,REMOXIPRIDE,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,371.28,1,4,2.68,N05AL04
CHEMBL656,OXYCODONE,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,315.37,1,5,1.05,N02AA05
CHEMBL658,SUFENTANIL,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,386.56,0,4,4.21,N01AH03
CHEMBL659,GALANTAMINE,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,287.36,1,4,1.85,N06DA04
CHEMBL660,AMANTADINE,NC12CC3CC(CC(C3)C1)C2,151.25,1,1,1.91,N04BB01
CHEMBL661,ALPRAZOLAM,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,308.77,0,4,3.58,N05BA12
CHEMBL21731,MAPROTILINE,CNCCCC12CCC(c3ccccc31)c1ccccc12,277.41,1,1,4.21,N06AA21
CHEMBL668,PROTRIPTYLINE,CNCCCC1c2ccccc2C=Cc2ccccc21,263.38,1,1,4.3,N06AA11
CHEMBL681,ETOMIDATE,CCOC(=O)c1cncn1[C@H](C)c1ccccc1,244.29,0,4,2.67,N01AX07
CHEMBL697,METHSUXIMIDE,CN1C(=O)CC(C)(c2ccccc2)C1=O,203.24,0,2,1.33,N03AD03
CHEMBL698,TETRACAINE,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,264.37,1,4,2.62,C05AD02;D04AB06;S01HA03;N01BA03
CHEMBL278819,MINAPRINE,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,298.39,1,5,2.2,N06AX07
CHEMBL708,ZIPRASIDONE,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,412.95,1,5,3.81,N05AE04
CHEMBL715,OLANZAPINE,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,312.44,1,5,3.44,N05AH03
CHEMBL716,QUETIAPINE,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,383.52,1,6,2.86,N05AH04
CHEMBL28318,PROPYPHENAZONE,Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C,230.31,0,3,2.61,N02BB04;N02BB54;N02BB74
CHEMBL726,FLUPHENAZINE,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,437.53,1,5,4.31,N05AB02
CHEMBL728,PROCHLORPERAZINE,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,373.95,0,4,4.58,N05AB04
CHEMBL741,LAMOTRIGINE,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,256.1,2,5,2.01,N03AX09
CHEMBL742,KETAMINE,CNC1(c2ccccc2Cl)CCCCC1=O,237.73,1,2,2.9,N01AX03
CHEMBL744,RILUZOLE,Nc1nc2ccc(OC(F)(F)F)cc2s1,234.2,1,4,2.78,N07XX02
CHEMBL750,ZONISAMIDE,NS(=O)(=O)Cc1noc2ccccc12,212.23,1,4,0.62,N03AX15
CHEMBL778,DEXMEDETOMIDINE,Cc1cccc([C@H](C)c2c[nH]cn2)c1C,200.28,1,1,3.18,N05CM18
CHEMBL33986,BUTORPHANOL,Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3,327.47,2,3,3.37,N02AF01
CHEMBL32479,BROTIZOLAM,Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2,393.7,0,5,4.4,N05CD09
CHEMBL796,METHYLPHENIDATE,COC(=O)C(c1ccccc1)C1CCCCN1,233.31,1,3,2.09,N06BA04
CHEMBL285674,ESTAZOLAM,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,294.75,0,4,3.27,N05CD04
CHEMBL797,PHENSUXIMIDE,CN1C(=O)CC(c2ccccc2)C1=O,189.21,0,2,1.16,N03AD02
CHEMBL284092,GEPIRONE,CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1,359.47,0,6,1.55,N06AX19
CHEMBL807,MEMANTINE,CC12CC3CC(C)(C1)CC(N)(C3)C2,179.31,1,1,2.69,N06DX01
CHEMBL37744,ZIMELDINE,CN(C)C/C=C(/c1ccc(Br)cc1)c1cccnc1,317.23,0,2,3.84,N06AB02
CHEMBL814,FLUVOXAMINE,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,318.34,1,4,3.2,N06AB08
CHEMBL827,DEXMETHYLPHENIDATE,COC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1,233.31,1,3,2.09,N06BA11
CHEMBL831,LOXAPINE,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,327.81,0,4,3.77,N05AH01
CHEMBL288470,AMINOPYRINE,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,231.3,0,4,1.55,N02BB73;N02BB03;N02BB53
CHEMBL290916,EDARAVONE,CC1=NN(c2ccccc2)C(=O)C1,174.2,0,2,1.8,N07XX14
CHEMBL41355,EZOGABINE,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N,303.34,3,4,3.59,N03AX21
CHEMBL856,PRIMIDONE,CCC1(c2ccccc2)C(=O)NCNC1=O,218.26,2,2,0.54,N03AA03
CHEMBL861,MEPHENYTOIN,CCC1(c2ccccc2)NC(=O)N(C)C1=O,218.26,1,2,1.47,N03AB04;N03AB54
CHEMBL887,RASAGILINE,C#CCN[C@@H]1CCc2ccccc21,171.24,1,1,1.9,N04BD02
CHEMBL894,BUPROPION,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,239.75,1,2,3.3,N06AX12
CHEMBL895,NALBUPHINE,Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314,357.45,3,5,1.71,N02AF02
CHEMBL52440,DEXTROMETHORPHAN,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,271.4,0,2,3.38,N07XX59;R05DA09
CHEMBL896,HYDROXYZINE,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,374.91,1,4,3.06,N05BB01;N05BB51
CHEMBL898,DIFLUNISAL,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,250.2,2,2,3.04,N02BA11
CHEMBL905,RIZATRIPTAN,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,269.35,1,4,1.91,N02CC04
CHEMBL911,ZOLPIDEM,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,307.4,0,3,3.25,N05CF02
CHEMBL918,PHENACEMIDE,NC(=O)NC(=O)Cc1ccccc1,178.19,2,2,0.42,N03AX07
CHEMBL54976,TRYPTOPHAN,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,204.23,3,2,1.12,N06AX02
CHEMBL931,HALOTHANE,FC(F)(F)C(Cl)Br,197.38,0,0,2.51,N01AB01
CHEMBL940,GABAPENTIN,NCC1(CC(=O)O)CCCCC1,171.24,2,2,1.37,N02BF01
CHEMBL58323,LACOSAMIDE,COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,250.3,2,3,0.45,N03AX18
CHEMBL301265,PRAMIPEXOLE,CCCN[C@H]1CCc2nc(N)sc2C1,211.33,2,4,1.58,N04BC05
CHEMBL294199,CAPSAICIN,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,305.42,2,3,3.79,N01BX04;M02AB01
CHEMBL953,ENTACAPONE,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,305.29,2,6,1.78,N04BX02
CHEMBL963,OXYMORPHONE,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,301.34,2,5,0.75,N02AA11
CHEMBL964,DISULFIRAM,CCN(CC)C(=S)SSC(=S)N(CC)CC,296.55,0,4,3.62,P03AA04;P03AA54;N07BB01
CHEMBL967,TEMAZEPAM,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,300.75,1,3,2.47,N05CD07
CHEMBL968,FLURAZEPAM,CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,387.89,0,3,4.0,N05CD01
CHEMBL969,PRAZEPAM,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1,324.81,0,2,3.93,N05BA11
CHEMBL970,HALAZEPAM,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC(F)(F)F,352.74,0,2,4.09,N05BA13
CHEMBL972,SELEGILINE,C#CCN(C)[C@H](C)Cc1ccccc1,187.29,0,1,2.18,N04BD01
CHEMBL979,MEPROBAMATE,CCCC(C)(COC(N)=O)COC(N)=O,218.25,2,4,0.98,N05BC01;N05BC51;N05CX01
CHEMBL982,NALMEFENE,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,339.44,2,4,2.51,N07BB05
CHEMBL70418,CLOBAZAM,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,300.75,0,2,3.37,N05BA09
CHEMBL1005,REMIFENTANIL,CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1,376.45,0,6,2.0,N01AH06
CHEMBL1009,LEVODOPA,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,197.19,4,4,0.05,N04BA01
CHEMBL306700,VILOXAZINE,CCOc1ccccc1OCC1CNCCO1,237.3,1,4,1.45,N06AX09
